season,week,celebrity_name,est_vote_share_mean,est_vote_share_std,method,entropy,sample_count,ci_width_95,feasible_range
1,1,Evander Holyfield,,,No_Elimination,,0,,
1,1,Joey McIntyre,,,No_Elimination,,0,,
1,1,John O'Hurley,,,No_Elimination,,0,,
1,1,Kelly Monaco,,,No_Elimination,,0,,
1,1,Rachel Hunter,,,No_Elimination,,0,,
1,1,Trista Sutter,,,No_Elimination,,0,,
1,2,Evander Holyfield,0.05608422389806289,0.0012618849849570957,Rank_Strict,1.5051266781686712,829,0.0,0.03635458027262123
1,2,Joey McIntyre,0.15988202270011148,0.028539976707977806,Rank_Strict,1.5051266781686712,829,0.09882199493632196,0.35804507005632347
1,2,John O'Hurley,0.40126860182619234,0.04456882473590605,Rank_Strict,1.5051266781686712,829,0.1629299250645344,0.26175192000085634
1,2,Kelly Monaco,0.09246725289144504,0.002080496615875887,Rank_Strict,1.5051266781686712,829,0.0,0.059938569782845896
1,2,Rachel Hunter,0.2563076958771696,0.05151548409172305,Rank_Strict,1.5051266781686712,829,0.26175192000085634,0.26175192000085634
1,2,Trista Sutter,0.03399020280702563,1.8041124150158794e-16,Rank_Strict,1.5051266781686712,829,0.0,0.0
1,3,Evander Holyfield,0.06094311391103511,0.010157841476820612,Rank_Strict,1.409014448820065,100894,0.037633759386561244,0.09968133898359542
1,3,Joey McIntyre,0.1610573101079806,0.034598833090761255,Rank_Strict,1.409014448820065,100894,0.16434674387412368,0.37064331137916906
1,3,John O'Hurley,0.2651797400088439,0.05551099501224132,Rank_Strict,1.409014448820065,100894,0.2709619723955736,0.33300955199260784
1,3,Kelly Monaco,0.09785711369352731,0.020978977769155683,Rank_Strict,1.409014448820065,100894,0.09968133898359542,0.2019805032606849
1,3,Rachel Hunter,0.4149627222772704,0.04644206798550178,Rank_Strict,1.409014448820065,100894,0.16866280811848416,0.2709619723955736
1,4,Joey McIntyre,0.27600434470659263,9.992007221626409e-16,Rank_Strict,1.2454921649376982,650,0.0,0.0
1,4,John O'Hurley,0.16784763441174394,0.01127384518310973,Rank_Strict,1.2454921649376982,650,0.0,0.28764913664496794
1,4,Kelly Monaco,0.45461169679011515,0.011273845183109293,Rank_Strict,1.2454921649376982,650,0.0,0.28764913664496794
1,4,Rachel Hunter,0.10153632409155314,1.3322676295501878e-15,Rank_Strict,1.2454921649376982,650,0.0,0.0
1,5,Joey McIntyre,,,No_Elimination,,0,,
1,5,John O'Hurley,,,No_Elimination,,0,,
1,5,Kelly Monaco,,,No_Elimination,,0,,
1,6,John O'Hurley,,,No_Elimination,,0,,
1,6,Kelly Monaco,,,No_Elimination,,0,,
2,1,Drew Lachey,0.38382395494223404,0.04252617533615576,Rank_Strict,1.6784260542482268,9312,0.1558683544573438,0.250407290314679
2,1,George Hamilton,0.012492771930003478,0.002362386406657134,Rank_Strict,1.6784260542482268,9312,0.007760228419754224,0.02811632703827084
2,1,Giselle Fernandez,0.24424312393657488,0.051076172581954904,Rank_Strict,1.6784260542482268,9312,0.250407290314679,0.30774805344875894
2,1,Jerry Rice,0.05466967077393793,0.011853142650519784,Rank_Strict,1.6784260542482268,9312,0.0558734187902487,0.12600863558546904
2,1,Kenny Mayne,0.004414497115929092,0.000197976158927285,Rank_Strict,1.6784260542482268,9312,1.734723475976807e-18,0.00285482849442193
2,1,Lisa Rinna,0.02016989250218831,0.004377316085894806,Rank_Strict,1.6784260542482268,9312,0.020554682080894657,0.04635598644195827
2,1,Master P,0.007339941059992529,0.0006246466094410038,Rank_Strict,1.6784260542482268,9312,2.6020852139652106e-18,0.00470681646295426
2,1,Stacy Keibler,0.09022075269803592,0.01955458028784963,Rank_Strict,1.6784260542482268,9312,0.09211969402621922,0.36362147223900754
2,1,Tatum O'Neal,0.14936962034599283,0.032661207980126936,Rank_Strict,1.6784260542482268,9312,0.15187969899141515,0.34252698434089823
2,1,Tia Carrere,0.0332557746951183,0.007205481640752249,Rank_Strict,1.6784260542482268,9312,0.03388894155924978,0.07642810087114335
2,2,Drew Lachey,0.2455036097961915,0.05074640691527689,Rank_Strict,1.656892975196298,9798,0.25151412885107977,0.3091083469315539
