season,week,celebrity_name,phi,mean,std,RQI_width,entropy,CR_d,CR_u,accumulated_fan_offset
1,1,Evander Holyfield,0.5,3.1336,1.3969434634228766,5.0,1.736805498268844,1.0,6.0,0.0
1,1,Joey McIntyre,0.5,1.8642,1.099526425330658,3.0,1.736805498268844,1.0,6.0,0.0
1,1,John O'Hurley,0.5,2.45455,1.2954282293898367,4.0,1.736805498268844,1.0,6.0,0.0
1,1,Kelly Monaco,0.5,5.1454,1.1028412578426714,3.0,1.736805498268844,1.0,6.0,0.0
1,1,Rachel Hunter,0.5,4.54935,1.290761239540482,4.0,1.736805498268844,1.0,6.0,0.0
1,1,Trista Sutter,0.5,3.8529,1.393937441207357,5.0,1.736805498268844,1.0,6.0,0.0
1,2,Evander Holyfield,0.5,1.85735,1.1071589666799635,3.0,1.7365560936365283,1.0,6.0,3.1336
1,2,Joey McIntyre,0.5,3.86365,1.4031958799468152,5.0,1.7365560936365283,3.9887099999999998,6.0,1.8642
1,2,John O'Hurley,0.5,4.53295,1.292870564867188,4.0,1.7365560936365283,5.39836,6.0,2.45455
1,2,Kelly Monaco,0.5,5.1532,1.086521863562802,3.0,1.7365560936365283,1.0,6.0,5.1454
1,2,Rachel Hunter,0.5,3.1449,1.3968192402740913,5.0,1.7365560936365283,2.3035600000000005,6.0,4.54935
1,2,Trista Sutter,0.5,2.44795,1.2800745281036314,4.0,1.7365560936365283,1.0,1.6016399999999997,3.8529
1,3,Evander Holyfield,0.5,1.36245,0.5878605255501145,2.0,1.5474477348933526,,,0.0
1,3,Joey McIntyre,0.5,2.53005,1.1442451649449508,4.0,1.5474477348933526,,,0.0
1,3,John O'Hurley,0.5,3.0149,1.15025127254863,4.0,1.5474477348933526,,,0.0
1,3,Kelly Monaco,0.5,4.021,0.9451767030561564,3.0,1.5474477348933526,,,0.0
1,3,Rachel Hunter,0.5,4.0716,1.0174838770220311,3.0,1.5474477348933526,,,0.0
1,4,Joey McIntyre,0.5,2.31965,1.000286897594894,3.0,1.3533483063878933,1.0,4.0,0.0
1,4,John O'Hurley,0.5,3.3246,0.8988519566645911,3.0,1.3533483063878933,1.0,4.0,0.0
1,4,Kelly Monaco,0.5,2.75775,1.0087442379017695,3.0,1.3533483063878933,2.00001,4.0,0.0
1,4,Rachel Hunter,0.5,1.598,0.7624932786589994,2.0,1.3533483063878933,1.0,2.99999,0.0
1,5,Joey McIntyre,0.5,1.60075,0.731880753606821,2.0,1.0852301369399437,1.0,3.0,0.0
1,5,John O'Hurley,0.5,1.9997,0.7797434898734132,2.0,1.0852301369399437,1.0,3.0,0.0
1,5,Kelly Monaco,0.5,2.39955,0.7330141864248205,2.0,1.0852301369399437,1.0,3.0,0.0
1,6,John O'Hurley,0.5,1.36205,0.48059317254827993,1.0,0.6889122632210078,1.0,2.0,1.9997
1,6,Kelly Monaco,0.5,1.63795,0.48059317254827993,1.0,0.6889122632210078,1.0,2.0,2.39955
2,1,Drew Lachey,0.5,8.4684,1.4127991506225837,4.0,2.200519187184431,9.00001,10.0,0.0
2,1,George Hamilton,0.5,3.28975,1.6093150522817303,5.0,2.200519187184431,2.00001,9.999929999999996,0.0
