season,week,celebrity_name,phi,center,mean,std,RQI_width,entropy
1,2,Evander Holyfield,0.1,[1 2 3 4 5 6],0.16052490394033375,0.04815871188583421,0.13731479946579558,1.7902952816009217
1,2,Joey McIntyre,0.1,[1 2 3 4 5 6],0.1611230883583962,0.04741581500475759,0.13731479946579558,1.7902952816009217
1,2,John O'Hurley,0.1,[1 2 3 4 5 6],0.16318515752921495,0.046649849595653416,0.13731479946579558,1.7902952816009217
1,2,Kelly Monaco,0.1,[1 2 3 4 5 6],0.18395468896579834,0.04616630255465145,0.13731479946579558,1.7902952816009217
1,2,Rachel Hunter,0.1,[1 2 3 4 5 6],0.1731727435099849,0.04789857139875448,0.13731479946579558,1.7902952816009217
1,2,Trista Sutter,0.1,[1 2 3 4 5 6],0.15803941769642532,0.03976146040395689,0.1373147994657956,1.7902952816009217
1,3,Evander Holyfield,0.1,[5 3 2 4 1],0.15170724937335878,0.023458328924483983,0.06337222613051932,1.5983178213233387
1,3,Joey McIntyre,0.1,[5 3 2 4 1],0.21224021797117676,0.055627253634590236,0.15791247821653548,1.5983178213233387
1,3,John O'Hurley,0.1,[5 3 2 4 1],0.1994766780630652,0.05191117682682551,0.15791247821653548,1.5983178213233387
1,3,Kelly Monaco,0.1,[5 3 2 4 1],0.24281870902860533,0.04895728934817987,0.12938445649794986,1.5983178213233387
1,3,Rachel Hunter,0.1,[5 3 2 4 1],0.19375714556394086,0.050851986855292096,0.15791247821653548,1.5983178213233387
1,4,Joey McIntyre,0.1,[1 2 3 4],0.2601785253365791,0.06671770566679742,0.18463583208765266,1.3855410656468234
1,4,John O'Hurley,0.1,[1 2 3 4],0.25387618508050125,0.07490230180781253,0.18463583208765266,1.3855410656468234
1,4,Kelly Monaco,0.1,[1 2 3 4],0.25178293909244065,0.07152790100613118,0.1846358320876527,1.3855410656468234
1,4,Rachel Hunter,0.1,[1 2 3 4],0.23416235049061437,0.05952829412813695,0.18463583208765275,1.3855410656468234
2,1,Drew Lachey,0.08000000000000002,[ 1  2  3  4 10  5  6  7  8  9],0.08886993384907349,0.02565637284307733,0.07501171370963289,2.29952445077956
2,1,George Hamilton,0.08000000000000002,[ 1  2  3  4 10  5  6  7  8  9],0.0943412487902748,0.028422773812623797,0.0893379634725659,2.29952445077956
2,1,Giselle Fernandez,0.08000000000000002,[ 1  2  3  4 10  5  6  7  8  9],0.093718395140878,0.027032227474253528,0.0893379634725659,2.29952445077956
2,1,Jerry Rice,0.08000000000000002,[ 1  2  3  4 10  5  6  7  8  9],0.0967517483885368,0.027672373475649534,0.0893379634725659,2.29952445077956
2,1,Kenny Mayne,0.08000000000000002,[ 1  2  3  4 10  5  6  7  8  9],0.09108967619011242,0.019716276375580665,0.06204878686400233,2.29952445077956
2,1,Lisa Rinna,0.08000000000000002,[ 1  2  3  4 10  5  6  7  8  9],0.10108366637031248,0.02897044242422002,0.0893379634725659,2.29952445077956
2,1,Master P,0.08000000000000002,[ 1  2  3  4 10  5  6  7  8  9],0.11192889406096533,0.02970657251266147,0.08933796347256587,2.29952445077956
2,1,Stacy Keibler,0.08000000000000002,[ 1  2  3  4 10  5  6  7  8  9],0.10435765151426069,0.028205284680778625,0.0893379634725659,2.29952445077956
2,1,Tatum O'Neal,0.08000000000000002,[ 1  2  3  4 10  5  6  7  8  9],0.10710292847281246,0.02832118498833476,0.08933796347256587,2.29952445077956
2,1,Tia Carrere,0.08000000000000002,[ 1  2  3  4 10  5  6  7  8  9],0.11075585722281282,0.028687267934531063,0.0829007645069026,2.29952445077956
2,2,Drew Lachey,0.1,[1 2 3 4 5 6 7 9 8],0.10021783209281106,0.02895734903137479,0.09796839065739205,2.1939666880904554
2,2,George Hamilton,0.1,[1 2 3 4 5 6 7 9 8],0.10356862499788758,0.029975265155521506,0.09796839065739205,2.1939666880904554
2,2,Giselle Fernandez,0.1,[1 2 3 4 5 6 7 9 8],0.10573869113378473,0.030297809161225545,0.09796839065739205,2.1939666880904554
2,2,Jerry Rice,0.1,[1 2 3 4 5 6 7 9 8],0.10848831309822711,0.030857490957131698,0.09796839065739205,2.1939666880904554
2,2,Lisa Rinna,0.1,[1 2 3 4 5 6 7 9 8],0.11658293158936037,0.033019756268963446,0.09796839065739205,2.1939666880904554
2,2,Master P,0.1,[1 2 3 4 5 6 7 9 8],0.1258240018834226,0.03255342997948814,0.09796839065739205,2.1939666880904554
2,2,Stacy Keibler,0.1,[1 2 3 4 5 6 7 9 8],0.11787023590951021,0.031642709552097574,0.09796839065739205,2.1939666880904554
2,2,Tatum O'Neal,0.1,[1 2 3 4 5 6 7 9 8],0.10027182323091034,0.021937461668631596,0.0648187160424035,2.1939666880904554
2,2,Tia Carrere,0.1,[1 2 3 4 5 6 7 9 8],0.12143754606406365,0.031902147473311784,0.09796839065739205,2.1939666880904554
2,3,Drew Lachey,4.8,[1 2 8 3 4 6 5 7],0.07749187763564057,0.00016311487352565923,0.0,2.039443965924361
2,3,George Hamilton,4.8,[1 2 8 3 4 6 5 7],0.08780663730547704,0.00023227266351283883,0.0,2.039443965924361
2,3,Giselle Fernandez,4.8,[1 2 8 3 4 6 5 7],0.18587842616916886,0.00043675897066278434,0.0,2.039443965924361
2,3,Jerry Rice,4.8,[1 2 8 3 4 6 5 7],0.09949853979920076,0.0002498790177821975,0.0,2.039443965924361
2,3,Lisa Rinna,4.8,[1 2 8 3 4 6 5 7],0.11274661645590607,0.0002831500224538879,0.0,2.039443965924361
2,3,Master P,4.8,[1 2 8 3 4 6 5 7],0.1447777422820746,0.00040880897599549653,0.0,2.039443965924361
2,3,Stacy Keibler,4.8,[1 2 8 3 4 6 5 7],0.12775525186272663,0.0002122803757690328,0.0,2.039443965924361
2,3,Tia Carrere,4.8,[1 2 8 3 4 6 5 7],0.16404490848979444,0.0005983600481844424,0.0,2.039443965924361
2,4,Drew Lachey,0.08000000000000002,[1 6 5 2 7 3 4],0.13338681539779867,0.037828583041971106,0.12122481174527627,1.939853809150526
